Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.315,1.162163221633292e-11,1.5391958040319407e-11,1.8385289365669402e-11,1.8384219278662412e-11,1.8387008655809727e-11,1.8386194961611874e-11,1.8383225044844662e-11
0.3175,1.155585640510918e-11,1.5265250710665888e-11,1.8330985528667537e-11,1.8330169398005959e-11,1.8326823971883328e-11,1.8322408904803207e-11,1.83315364158693e-11
0.32,1.1503766685451981e-11,1.51538884563374e-11,1.8277428786565652e-11,1.8277935813029375e-11,1.8278488545354727e-11,1.8278330388222376e-11,1.8287872319632138e-11
0.3225,1.1446432702602971e-11,1.5038096715785337e-11,1.8220739677875895e-11,1.8221415211771958e-11,1.8223698160861441e-11,1.822226909805631e-11,1.8212893151105096e-11
0.325,1.1387330174642176e-11,1.4925591021759323e-11,1.8167113250738161e-11,1.8167790920579425e-11,1.8171515392168127e-11,1.8169742707570723e-11,1.8172612025472878e-11
0.3275,1.1328276291463042e-11,1.4816899510023743e-11,1.8112957817026709e-11,1.8114483871318439e-11,1.8112532564926134e-11,1.8112208007588229e-11,1.8108994268183846e-11
0.33,1.1265813639954028e-11,1.470585603596165e-11,1.8052499059295683e-11,1.8052764679093842e-11,1.8054292568464031e-11,1.8057610360122108e-11,1.8064105807906275e-11
0.3325,1.1202271644252964e-11,1.4598850780645288e-11,1.7997556906462062e-11,1.7998262649445485e-11,1.8001437956070647e-11,1.8004816141977749e-11,1.7995310711605884e-11
0.335,1.1141168582045136e-11,1.4495689139156743e-11,1.7933182818145346e-11,1.7934487429426939e-11,1.7936628563199724e-11,1.7935016106051453e-11,1.7935224732212518e-11
0.3375,1.108078785173347e-11,1.4396753108344197e-11,1.7883612871612924e-11,1.788343641718606e-11,1.7882677305635073e-11,1.7886960243558535e-11,1.7893146928631729e-11
0.34,1.1019360151395436e-11,1.4300533647659948e-11,1.7825263093317111e-11,1.7826816169945067e-11,1.7825638942957435e-11,1.7823567541375959e-11,1.7817789475096312e-11
0.3425,1.0952257062469443e-11,1.4201127439673963e-11,1.7763623379658184e-11,1.7761029995173594e-11,1.7758597445079915e-11,1.7760425181583804e-11,1.7769884860517253e-11
0.345,1.0889150750447534e-11,1.4107975338584626e-11,1.7701617682172747e-11,1.76988319549203e-11,1.7694719969740189e-11,1.7700406866185296e-11,1.7709546836014468e-11
0.3475,1.0828354777957781e-11,1.4021313178666215e-11,1.7652237273860234e-11,1.7654048006291609e-11,1.7649263641204086e-11,1.7643297230422475e-11,1.7643551860076278e-11
0.35,1.0770008620910827e-11,1.3941842038421053e-11,1.7599240279012812e-11,1.7599628173652438e-11,1.7598296915377409e-11,1.760129542813672e-11,1.7602550975085066e-11
0.3525,1.0703258718039869e-11,1.3849888052680672e-11,1.7535893826702695e-11,1.7537063309886032e-11,1.7537740782645821e-11,1.7538089945668678e-11,1.753784160307178e-11
0.355,1.0647027676522157e-11,1.3773889819543051e-11,1.7486738524845045e-11,1.7486950498866779e-11,1.7484679725113505e-11,1.7480440218470703e-11,1.7480830068920913e-11
0.3575,1.0591528239123417e-11,1.3702185384209694e-11,1.7434447132494753e-11,1.7433768810364653e-11,1.7432828064806711e-11,1.7435984832892112e-11,1.7432784918624201e-11
0.36,1.0525879689136619e-11,1.3620873169144698e-11,1.7374632368539959e-11,1.7375460537444491e-11,1.737826211503584e-11,1.7373968040260638e-11,1.7375601086789137e-11
0.3625,1.0462666670008471e-11,1.3547731512310073e-11,1.7313801345223638e-11,1.7318748977503854e-11,1.7319341188265434e-11,1.7325422080513069e-11,1.7318311610087357e-11
0.365,1.0403025643533047e-11,1.3477814242434454e-11,1.726046295728362e-11,1.7265100601987739e-11,1.7266410865049255e-11,1.7264689377855728e-11,1.7262211134893594e-11
0.3675,1.0344692887061284e-11,1.3410576144710392e-11,1.720636422375843e-11,1.7208397518402165e-11,1.7206111970072905e-11,1.7204650333283055e-11,1.7207490938458542e-11
