Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.00602557,5.4522240717486823e-15,4.2452240673231639e-15,3.6431039841841881e-15,4.2447690602701004e-15,4.8178105026137833e-15,5.4483253685116269e-15,5.2804555210415905e-15
0.0060762,-5.2657516579554922e-16,1.1874385941920669e-15,1.405645388407328e-15,1.6686381196133487e-15,1.244752700536219e-16,-4.8568435516625287e-16,-6.3616119472160768e-16
0.00612683,1.5199546054517001e-14,1.4197661788518717e-14,1.3284666030904736e-14,1.1325172556170122e-14,1.0727330105248323e-14,1.0703182638616867e-14,1.0796009220980199e-14
0.00617747,-1.0317788344968481e-14,-1.0318441318600919e-14,-1.3831139509068606e-14,-1.713180225457256e-14,-1.7338780233037628e-14,-1.7635250292726003e-14,-1.7551773731860853e-14
0.00622811,7.5691806882680136e-15,6.2722959367421564e-15,3.305447939994626e-15,7.0155692699950026e-16,-8.3615024687973932e-16,-1.7802936900963587e-15,-2.0089360839905982e-15
0.00627874,-1.998313075938409e-15,-4.4000918093433748e-15,-3.304009869337163e-15,-2.2179162106373509e-15,-2.6859218018320732e-15,-2.0813326893574079e-15,-2.1080334567492961e-15
0.00632937,1.5551948298004721e-15,1.4178044750510723e-15,4.1429339103941817e-16,1.3987437726084804e-15,3.2597642813083297e-15,2.8161229321627245e-15,3.0394738748398791e-15
0.00638001,5.9300317627470065e-15,1.3193548250375746e-15,1.7977213776382728e-15,1.7572049067136766e-15,-4.8058434338050644e-16,-1.7520861990709628e-15,-1.3924350619712903e-15
0.00643064,-6.6795288475856676e-15,-9.1584446577163957e-15,-1.20888054069036e-14,-1.4954826831391603e-14,-1.6745583880889656e-14,-1.7153165262281852e-14,-1.702000333899404e-14
0.00648128,-2.5190619035622521e-15,-1.1590990151520435e-15,-2.7880178052663509e-15,9.6995869161547011e-16,-1.3984246336255537e-15,-2.6078159731383815e-15,-2.6228813294201075e-15
0.00653192,-1.3889479518817512e-14,-1.5021058816946828e-14,-1.81198824695187e-14,-1.8931555804155772e-14,-2.0536240178340443e-14,-2.0195037709184921e-14,-2.0131121131971278e-14
0.00658255,-1.1499938851821701e-15,-3.3546993112681251e-15,-6.5398781610194028e-15,-6.6383086636145968e-15,-7.0618550090963196e-15,-7.3603841222817202e-15,-7.5343843299086373e-15
0.00663318,9.4518257792464181e-15,8.2262171799239912e-15,1.0082797764663483e-14,1.0786153460672042e-14,1.0566991237716322e-14,1.0982284598417897e-14,1.0849361572407841e-14
0.00668382,-6.5727138941448688e-15,-8.158873993554007e-15,-6.6707129815802857e-15,-6.4276875713476535e-15,-6.9815558284438083e-15,-6.9815523738293734e-15,-6.7687446417566666e-15
0.00673445,2.402994441260862e-15,9.7502062689587819e-16,3.5707375255748758e-15,2.0694207021725824e-15,2.6055560934641399e-15,2.6796542310690455e-15,3.3797522187730887e-15
0.00678509,1.192704444166006e-14,1.0653042105782155e-14,6.3355274273972026e-15,7.0374672995019843e-15,8.254568118349893e-15,7.2226105146720681e-15,6.9442169288685388e-15
0.00683572,6.7489240124581711e-15,5.7534577623393653e-15,2.1727396879561102e-15,-1.0051456662733222e-15,-2.5004711560416652e-15,-2.7045717125136348e-15,-2.5229489644036463e-15
