Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.00622811,0.0012900167446523274,6.4656309139429715e-06,1.4866864451036782e-07,-2.9952593290362573e-08,-7.1192018331035251e-08,-1.9206469601522056e-08,-2.2007383740126166e-08
0.00627874,0.0013245905690578374,6.5340454460662883e-06,1.4190905647397615e-07,-3.1612785511930085e-08,-7.5321598955846084e-08,-1.6650638304024032e-08,-1.5150781533473616e-08
0.00632937,0.0013589289572446205,6.6003472863412797e-06,1.3546290045855135e-07,-3.5468758272072939e-08,-7.7328797572870758e-08,-1.4532066755792109e-08,-2.6913084109546421e-09
0.00638001,0.0013940933332622818,6.6640067695063482e-06,1.2938624479053768e-07,-4.1259360254440473e-08,-7.7468723051819336e-08,-1.3195534366154559e-08,1.2538825156552786e-08
0.00643064,0.0014311714163153376,6.7253984325512637e-06,1.2359099699179604e-07,-4.8590555613641517e-08,-7.6267345581328014e-08,-1.282522120021329e-08,2.7517026220240063e-08
0.00648128,0.0014708342048139872,6.7855275913447783e-06,1.1788873362396828e-07,-5.6978772728986568e-08,-7.4316861138239776e-08,-1.3422717632455679e-08,3.9942199414028257e-08
0.00653192,0.0015134016406976394,6.8460303226768275e-06,1.1203738537163604e-07,-6.5883849270502041e-08,-7.2143412372886481e-08,-1.482845722113321e-08,4.8678248631697843e-08
0.00658255,0.0015588497593586885,6.9083006068653774e-06,1.0578845850067256e-07,-7.4785251740790533e-08,-7.0131222584474603e-08,-1.6782977257830842e-08,5.364409067381808e-08
0.00663318,0.0016068483198077713,6.9734585726139738e-06,9.8945276822679756e-08,-8.3219564893670535e-08,-6.8518156960387451e-08,-1.8988609188812783e-08,5.5450259603748538e-08
0.00668382,0.0016567631878561405,7.0427676787800415e-06,9.1402552841842055e-08,-9.0831973461834163e-08,-6.7434510445167235e-08,-2.1157348347538135e-08,5.499436907800939e-08
